date,crop,tmax_c,tmin_c,tmean_c,precip_mm,solar_mj,rh_pct,ws_ms,gdd_daily,gdd_cumulative,mean_ndvi,sensor,field_id,year
2024-03-01,Corn,12.880005,-1.0599976,4.8200073,0.0,16.177536,71.53998,9.109985,1.44,1.44,,,osm-1360386537,2024
2024-03-02,Corn,17.059998,0.4000244,6.950012,0.010009766,13.684032,79.59003,7.51001,3.53,4.97,,,osm-1360386537,2024
2024-03-03,Corn,19.849976,0.25,9.890015,0.010009766,16.382303,71.19,8.900024,4.92,9.89,,,osm-1360386537,2024
2024-03-04,Corn,6.23999,-3.9799805,1.5200195,0.26000977,4.497984,64.380005,5.330017,0.0,9.89,,,osm-1360386537,2024
2024-03-05,Corn,9.809998,-4.9400024,2.1400146,0.0,16.465248,59.23999,3.0100098,0.0,9.89,,,osm-1360386537,2024
2024-03-06,Corn,13.609985,-2.2199707,5.0,0.0,15.939936,53.659973,5.5999756,1.8,11.7,,,osm-1360386537,2024
2024-03-07,Corn,10.700012,-1.5499878,3.919983,0.030029297,11.247552,67.46997,5.2800293,0.35,12.05,,,osm-1360386537,2024
2024-03-08,Corn,5.2199707,-4.51001,-0.5800171,0.020019531,14.631838,62.159973,7.909973,0.0,12.05,,,osm-1360386537,2024
2024-03-09,Corn,5.0,-5.3900146,-1.3300171,0.0,18.995039,61.03003,5.5599976,0.0,12.05,0.1088,sentinel,osm-1360386537,2024
2024-03-10,Corn,11.659973,-3.3099976,3.419983,0.0,17.928865,51.090027,4.3900146,0.83,12.88,,,osm-1360386537,2024
2024-03-11,Corn,21.859985,-0.32000732,10.280029,0.0,17.211746,62.869995,5.9400024,5.93,18.81,,,osm-1360386537,2024
2024-03-12,Corn,18.830017,4.669983,10.809998,0.0,17.35258,56.02002,4.119995,4.42,23.22,,,osm-1360386537,2024
2024-03-13,Corn,18.619995,2.5599976,10.690002,2.9099731,14.791681,59.27002,4.619995,4.31,27.53,,,osm-1360386537,2024
2024-03-14,Corn,13.530029,3.8499756,9.059998,4.630005,5.01293,71.25,6.3099976,1.77,29.3,,,osm-1360386537,2024
2024-03-15,Corn,12.150024,-0.9299927,5.330017,0.23999023,16.556833,69.02002,5.549988,1.08,30.37,,,osm-1360386537,2024
2024-03-16,Corn,9.72998,-0.75,4.9299927,0.0,14.231806,54.099976,8.77002,0.0,30.37,,,osm-1360386537,2024
2024-03-17,Corn,-0.3499756,-6.6500244,-3.7199707,0.0,15.832801,54.96997,8.98999,0.0,30.37,,,osm-1360386537,2024
2024-03-18,Corn,2.8400269,-6.539978,-2.419983,0.0,18.850752,48.409973,5.799988,0.0,30.37,,,osm-1360386537,2024
2024-03-19,Corn,12.929993,-2.4899902,4.330017,0.0,19.98778,56.71997,7.830017,1.46,31.84,,,osm-1360386537,2024
2024-03-20,Corn,1.9199829,-6.9400024,-2.619995,0.0,21.246622,45.549988,5.7800293,0.0,31.84,,,osm-1360386537,2024
2024-03-21,Corn,2.830017,-3.8200073,-0.59002686,0.42999268,10.655714,57.909973,3.2700195,0.0,31.84,,,osm-1360386537,2024
2024-03-22,Corn,2.960022,-5.450012,-1.5100098,0.85998535,7.159968,71.27002,5.8900146,0.0,31.84,,,osm-1360386537,2024
2024-03-23,Corn,2.8499756,-6.590027,-2.2399902,2.369995,12.997151,62.78003,3.3499756,0.0,31.84,,,osm-1360386537,2024
2024-03-24,Corn,2.460022,-3.9000244,-0.35998535,26.690002,2.9220488,89.07001,7.2800293,0.0,31.84,,,osm-1360386537,2024
2024-03-25,Corn,7.25,0.2199707,2.880005,23.849976,4.3217297,96.640015,4.8200073,0.0,31.84,,,osm-1360386537,2024
2024-03-26,Corn,-0.090026855,-8.609985,-4.3099976,1.7600098,9.216287,85.890015,10.650024,0.0,31.84,,,osm-1360386537,2024
2024-03-27,Corn,0.34002686,-11.570007,-5.8499756,0.0,19.648222,75.34003,5.909973,0.0,31.84,,,osm-1360386537,2024
2024-03-28,Corn,4.950012,-8.549988,-2.2299805,0.0,21.510147,68.03003,3.0999756,0.0,31.84,,,osm-1360386537,2024
